,Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
2,2021-06-23 14:30:00,Bronx,Pelham Bay Park,Pelham Bay South,white-tailed deer,Native,,Deer,Unfounded,0.0,2021,"Pelham Bay Park, Bronx, NY"
124,2021-05-24 10:00:00,Staten Island,Conference House Park,"Next to sidewalk along Statterlee St., between Conference House and Ward House",white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2021,"Conference House Park, Staten Island, NY"
146,2021-05-19 16:30:00,Bronx,Pelham Bay Park,Turtle Cove,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Pelham Bay Park, Bronx, NY"
325,2021-03-18 11:30:00,Bronx,Pelham Bay Park,Pelham Bay Park West & Ropes Avenue,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2021,"Pelham Bay Park, Bronx, NY"
326,2021-03-18 11:30:00,Bronx,Pelham Bay Park,Pelham Bay Park West & Ropes Avenue,white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2021,"Pelham Bay Park, Bronx, NY"
333,2021-03-11 09:30:00,Staten Island,Clove Lakes Park,In woods behind Ice Skating Rink,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Clove Lakes Park, Staten Island, NY"
339,2021-03-09 09:10:00,Staten Island,Greenbelt White trail,Ashworth Ave. and Lovell Ave.,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Greenbelt White trail, Staten Island, NY"
341,2021-03-07 09:00:00,Staten Island,Joseph Manna Park,In shrubs,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2021,"Joseph Manna Park, Staten Island, NY"
345,2021-03-04 17:00:00,Bronx,Pelham Bay Park,Twin Island Shoreline,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Pelham Bay Park, Bronx, NY"
351,2021-03-03 09:00:00,Staten Island,William T. Davis Wildlife Refuge,Behind the Parks house at 2226 Richmond Ave,white-tailed deer,Native,Injured,Deer,Advised/Educated others,1.0,2021,"William T. Davis Wildlife Refuge, Staten Island, NY"
430,2021-01-14 12:00:00,Staten Island,Freshkills Park,William T Davis Wildlife refuge,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Freshkills Park, Staten Island, NY"
436,2021-01-14 12:00:00,Staten Island,Freshkills Park,"William T. Davis Wildlife Refuge, Travis Ave and Draper Pl",white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2021,"Freshkills Park, Staten Island, NY"
437,2021-01-13 13:40:00,Staten Island,South Shore Country Club,30-50ft in woods by the 8th T hole,white-tailed deer,Native,Healthy,Deer,Relocated/Condition Corrected,1.0,2021,"South Shore Country Club, Staten Island, NY"
452,2021-06-25 15:00:00,Bronx,Pelham Bay Park,Near Orchard Beach dumpsters,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Pelham Bay Park, Bronx, NY"
487,2021-07-09 10:15:00,Staten Island,Brookfield Park,east mound,white-tailed deer,Native,Unhealthy,Deer,Monitored Animal,1.0,2021,"Brookfield Park, Staten Island, NY"
490,2021-07-09 15:00:00,Staten Island,Brookfield Park,east mound,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2021,"Brookfield Park, Staten Island, NY"
507,2021-07-13 19:00:00,Bronx,Pelham Bay Park,Orchard Beach Parking Lot,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Pelham Bay Park, Bronx, NY"
603,2021-08-14 12:10:00,Staten Island,Blue Heron Park,Wooded area near red trail,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Blue Heron Park, Staten Island, NY"
622,2021-08-18 15:08:00,Queens,Alley Pond Park,Northern Boulevard and Cross Island Parkway North,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Alley Pond Park, Queens, NY"
623,2021-08-18 16:45:00,Staten Island,Blue Heron Park,Wooded area near red trail,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Blue Heron Park, Staten Island, NY"
644,2021-08-23 15:10:00,Queens,Alley Pond Park,Cross Island Parkway and Northern Boulevard,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Alley Pond Park, Queens, NY"
725,2021-09-16 14:00:00,Staten Island,Wolfe's Pond Park,In brushes along Holten Avenue,white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2021,"Wolfe's Pond Park, Staten Island, NY"
751,2021-09-28 12:00:00,Staten Island,LaTourette Park & Golf Course,red and yellow trail,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"LaTourette Park & Golf Course, Staten Island, NY"
780,2021-10-08 08:00:00,Bronx,Pelham Bay Park,Woods near Bartow-Pell Mansion Museum,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Pelham Bay Park, Bronx, NY"
788,2021-10-08 17:00:00,Bronx,Pelham Bay Park,Bartow Pell,white-tailed deer,Native,DOA,Deer,Monitored Animal,2.0,2021,"Pelham Bay Park, Bronx, NY"
825,2021-10-25 07:45:00,Staten Island,Blue Heron Park,Shirley Ave and Barclay Ave Dead End,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2021,"Blue Heron Park, Staten Island, NY"
871,2021-11-12 00:00:00,Bronx,Pelham Bay Park,Side of Rodman's Neck Road,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Pelham Bay Park, Bronx, NY"
882,2021-11-17 11:45:00,Bronx,Pelham Bay Park,Side of road on Exit 3 of the Hutchinson River Parkway (Old Exit 5),white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Pelham Bay Park, Bronx, NY"
902,2021-11-29 11:00:00,Manhattan,Riverside Park,120 Street and Riverside Drive,white-tailed deer,Native,,Deer,Unfounded,0.0,2021,"Riverside Park, Manhattan, NY"
903,2021-11-29 15:25:00,Bronx,Pelham Bay Park,Near Orchard Beach entrance 40.86785 -73.80796,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Pelham Bay Park, Bronx, NY"
918,2021-12-06 10:45:00,Bronx,Van Cortlandt Park,Cass Gallagher Trail,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Van Cortlandt Park, Bronx, NY"
920,2021-12-07 08:50:00,Bronx,Van Cortlandt Park,Grass right outside of the fence at the Golf parking lot,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2021,"Van Cortlandt Park, Bronx, NY"
931,2021-12-11 13:00:00,Staten Island,Clove Lakes Park,On the bank of Clove Lake,white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2021,"Clove Lakes Park, Staten Island, NY"
932,2021-12-11 13:00:00,Staten Island,Clove Lakes Park,Clove Lake by stone bridge,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Clove Lakes Park, Staten Island, NY"
946,2021-12-17 10:00:00,Staten Island,Willowbrook Park,White Trail,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2021,"Willowbrook Park, Staten Island, NY"
1238,2022-04-20 09:00:00,Staten Island,Blue Heron Park,"behind 6 Winslow place, in a vernal pond in the woods",white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2022,"Blue Heron Park, Staten Island, NY"
1491,2020-12-29 13:00:00,Staten Island,Bloomingdale Park,Bloomingdale Rd and Ramona Ave woods,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2020,"Bloomingdale Park, Staten Island, NY"
1496,2020-12-24 13:00:00,Bronx,Pelham Bay Park,Orchard Beach South Near the Parking Lot,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2020,"Pelham Bay Park, Bronx, NY"
1534,2020-12-07 13:45:00,Staten Island,Kingdom Pond Park,Corner of Kingdom ave and Hylan,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Kingdom Pond Park, Staten Island, NY"
1540,2020-12-04 11:00:00,Bronx,Pelham Bay Park,"""On the trail near the lake""- Patron",white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2020,"Pelham Bay Park, Bronx, NY"
1551,2020-12-01 09:10:00,Bronx,Pelham Bay Park,Intersection of Shore Road and City Island Road between bike path and guard rail,white-tailed deer,Native,Injured,Deer,ACC,1.0,2020,"Pelham Bay Park, Bronx, NY"
1559,2020-11-27 08:00:00,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,bike path north of Oceanbreeze Fishing Pier- Father Capodanno Blvd and Seaview Ave,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Franklin D. Roosevelt Boardwalk and Beach, Staten Island, NY"
1576,2020-11-17 09:26:00,Staten Island,Clove Lakes Park,Ice Skating Rink- Victory Blvd and cypress st,white-tailed deer,Native,,Deer,Unfounded,0.0,2020,"Clove Lakes Park, Staten Island, NY"
1580,2020-11-16 18:45:00,Staten Island,Clove Lakes Park,Victory Blvd and Cypress st,white-tailed deer,Native,,Deer,Unfounded,0.0,2020,"Clove Lakes Park, Staten Island, NY"
1600,2020-11-05 14:14:00,Staten Island,Greenstreet across 269 Cambridge Avenue,Crosstreets were Willow Road East and Cambridge Avenue,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Greenstreet across 269 Cambridge Avenue, Staten Island, NY"
1618,2020-10-26 11:40:00,Staten Island,Midland Playground,Playground,white-tailed deer,Native,Healthy,Deer,Unfounded,0.0,2020,"Midland Playground, Staten Island, NY"
1701,2020-09-24 12:00:00,Brooklyn,Calvert Vaux Park,Forested area along southern waterfront,white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2020,"Calvert Vaux Park, Brooklyn, NY"
1746,2020-09-09 16:15:00,Staten Island,Snug Harbor Cultural Center,By white garden,white-tailed deer,Native,Injured,Deer,ACC,1.0,2020,"Snug Harbor Cultural Center, Staten Island, NY"
1772,2020-08-31 10:45:00,Bronx,Pelham Bay Park,"Adjacent to Rodman's Neck Police firing range.  40.854613, 73.799860",white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2020,"Pelham Bay Park, Bronx, NY"
1859,2020-07-22 09:00:00,Staten Island,Olmsted-Beil House Park,On side of driveway on Hylan blvd side,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2020,"Olmsted-Beil House Park, Staten Island, NY"
1865,2020-07-21 09:05:00,Staten Island,Aesop Park,Fawn was spotted in Aesop playground,white-tailed deer,Native,Healthy,Deer,Relocated/Condition Corrected,1.0,2020,"Aesop Park, Staten Island, NY"
1992,2020-06-12 08:27:00,Bronx,Van Cortlandt Park,Rockwood Circle,white-tailed deer,Native,DOA,Deer,Submitted for DEC Testing,1.0,2020,"Van Cortlandt Park, Bronx, NY"
2022,2020-06-06 09:35:00,Bronx,Van Cortlandt Park,"Parade ground, Broadway side",white-tailed deer,Native,,Deer,Unfounded,0.0,2020,"Van Cortlandt Park, Bronx, NY"
2049,2020-05-29 20:30:00,Staten Island,Blue Heron Park,Butterfly Pond,white-tailed deer,Native,,Deer,Unfounded,0.0,2020,"Blue Heron Park, Staten Island, NY"
2089,2020-05-13 18:00:00,Manhattan,Marcus Garvey Park,"east facing rocky hill, just below the firetower level",white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2020,"Marcus Garvey Park, Manhattan, NY"
2090,2020-05-12 18:28:00,Manhattan,St. Nicholas Park,South Side of Park near 129th street.,white-tailed deer,Native,Healthy,Deer,Unfounded,0.0,2020,"St. Nicholas Park, Manhattan, NY"
2182,2020-03-09 08:20:00,Staten Island,Bunker Ponds Park,"Sidewalk (40.524248, -74.185237)",white-tailed deer,Native,DOA,Deer,Monitored Animal,1.0,2020,"Bunker Ponds Park, Staten Island, NY"
2201,2020-02-28 14:30:00,Staten Island,High Rock Park,In the ravine near Nevada Ave. and Rockland Ave.,white-tailed deer,Native,,Deer,Unfounded,0.0,2020,"High Rock Park, Staten Island, NY"
2253,2020-01-27 16:00:00,Staten Island,Wolfe's Pond Park,Hylan Boulevard in middle of street,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2020,"Wolfe's Pond Park, Staten Island, NY"
2254,2020-01-27 15:10:00,Staten Island,High Rock Park,Near Walker Pond. behind Kayla Court,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2020,"High Rock Park, Staten Island, NY"
2262,2020-01-22 09:55:00,Staten Island,LaTourette Park & Golf Course,Bucks Hollow Esther Depew Street and London Road,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2020,"LaTourette Park & Golf Course, Staten Island, NY"
2283,2020-01-10 12:00:00,Staten Island,Willowbrook Park,"White Trail, nearest cross-streets Ashworth Avenue and Shirra Avenue",white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2020,"Willowbrook Park, Staten Island, NY"
2286,2020-01-10 12:00:00,Staten Island,Willowbrook Park,"White Trail, Ashworth Ave and Shirra Ave",white-tailed deer,Native,,Deer,Unfounded,0.0,2020,"Willowbrook Park, Staten Island, NY"
2303,2019-12-23 09:03:00,Bronx,Pelham Bay Park,On the side of Shore Road between Orchard Beach Road and City Island Road.,white-tailed deer,Native,Injured,Deer,ACC,1.0,2019,"Pelham Bay Park, Bronx, NY"
2304,2019-12-22 15:45:00,Staten Island,Blue Heron Park,Amboy Rd and Booth ave,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2019,"Blue Heron Park, Staten Island, NY"
2319,2019-12-06 00:00:00,Staten Island,Brookfield Park,Between the east mound and Arthur Kill Road,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2019,"Brookfield Park, Staten Island, NY"
2320,2019-12-06 15:00:00,Staten Island,Brookfield Park,Patrolled East & West Mounds,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2019,"Brookfield Park, Staten Island, NY"
2324,2019-12-12 13:05:00,Staten Island,Brookfield Park,Arthur Kill Road & Greaves avenue,white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2019,"Brookfield Park, Staten Island, NY"
2325,2019-12-10 10:00:00,Staten Island,Blue Heron Park,Jansen Street and Koch Boulevard,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2019,"Blue Heron Park, Staten Island, NY"
2347,2019-11-26 15:35:00,Staten Island,High Rock Park,"Near Altamont house, Walden Ave entrance",white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2019,"High Rock Park, Staten Island, NY"
2380,2019-10-26 15:15:00,Staten Island,Fairview Park,Off Veterans Road West about 15-20 feet in the woods,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2019,"Fairview Park, Staten Island, NY"
2384,2019-10-25 13:00:00,Staten Island,Fairview Park,Entrance by West Shore Motor Lodge at Englewood Avenue and Veterans Road West.,white-tailed deer,Native,Injured,Deer,Monitored Animal,1.0,2019,"Fairview Park, Staten Island, NY"
2559,2019-07-22 10:30:00,Staten Island,Clove Lakes Park,Martlings Pond near cemetery,white-tailed deer,Native,Injured,Deer,ACC,1.0,2019,"Clove Lakes Park, Staten Island, NY"
2609,2019-06-27 14:40:00,Staten Island,Bunker Ponds Park,"On Hylan Blvd, between Kingdom Ave and Art",white-tailed deer,Native,Injured,Deer,ACC,1.0,2019,"Bunker Ponds Park, Staten Island, NY"
2787,2019-03-26 08:30:00,Staten Island,Hylan Boulevard and Ithaca Street,Bluebelt area on Hylan Boulevard and Ithaca Street,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2019,"Hylan Boulevard and Ithaca Street, Staten Island, NY"
2860,2019-02-20 18:40:00,Staten Island,Industrial Park,In small patch of woods along Graham Ave.,white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2019,"Industrial Park, Staten Island, NY"
2903,2019-01-15 12:45:00,Bronx,Crotona Park,Indian Lake,white-tailed deer,Native,,Deer,Unfounded,0.0,2019,"Crotona Park, Bronx, NY"
2905,2019-01-12 16:25:00,Staten Island,Midland Playground,Between Midland Avenue and Lincoln Avenue,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2019,"Midland Playground, Staten Island, NY"
2909,2019-01-08 14:32:00,Staten Island,Joseph Manna Park,Shrubbery,white-tailed deer,Native,,Deer,Unfounded,0.0,2019,"Joseph Manna Park, Staten Island, NY"
2910,2019-01-08 09:30:00,Staten Island,Joseph Manna Park,Shrub in park,white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2019,"Joseph Manna Park, Staten Island, NY"
2922,2019-01-02 16:20:00,Staten Island,Blood Root Valley,"10 feet off Blue trail, 40.586100, -74.130546",white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2019,"Blood Root Valley, Staten Island, NY"
2981,2018-11-30 16:30:00,Staten Island,Reed's Basket Willow Swamp Park,,white-tailed deer,Native,,Deer,Unfounded,0.0,2018,"Reed's Basket Willow Swamp Park, Staten Island, NY"
