Property,# of Animals
Riverside Park,978.0
Central Park,962.0
Prospect Park,781.0
Flushing Meadows Corona Park,399.0
Van Cortlandt Park,338.0
Franklin D. Roosevelt Boardwalk and Beach,267.0
Marine Park,246.0
Pelham Bay Park,196.0
Blue Heron Park,180.0
Forest Park,176.0
Clove Lakes Park,141.0
Crotona Park,140.0
Inwood Hill Park,138.0
Lemon Creek Park,128.0
Willowbrook Park,124.0
Rockaway Beach and Boardwalk,109.0
Greenbelt Recreation Center,103.0
Tappen Park,101.0
Morningside Park,100.0
Alley Pond Park,84.0
